model,strategy,n_trials,mean_correlation,median_correlation,min_correlation,max_correlation,std_correlation
chatgpt,few,10,0.9558256678195205,0.9657452084358713,0.885024231627249,0.986537137731677,0.027286846666382657
chatgpt,lenient,10,0.9424429753327004,0.9421588576254102,0.908891871269903,0.9860641582171236,0.0177339704553877
chatgpt,zero,10,0.9690401321544982,0.9698594121806318,0.945516410736831,0.9864342523074017,0.009652315189567651
gemini,few,10,0.8255505824742235,0.8515055191994388,0.6403988343476137,0.9186322951920033,0.08152310288447785
gemini,lenient,10,0.9485277478385813,0.9521448489916893,0.8877936526548965,0.9794499106231033,0.020838087083338463
gemini,zero,10,0.8711964309050317,0.916574227585218,0.7161299786684575,0.9666269578547001,0.08595859316893911
