model,method,n_samples,mae,exact_match,cohens_kappa,pearson_r
chatgpt,single_trial,70,0.6257142857142858,60.0,0.42990110529377545,0.9080739830340324
chatgpt,aggregated_mean,70,0.6335714285714287,64.28571428571429,0.4917223351728144,0.9120194173842793
chatgpt,single_trial,70,0.6257142857142858,60.0,0.42990110529377545,0.9080739830340324
chatgpt,aggregated_median,70,0.6442857142857145,57.14285714285714,0.3920092646207296,0.8982655332589162
chatgpt,single_trial,70,0.6257142857142858,60.0,0.42990110529377545,0.9080739830340324
chatgpt,aggregated_mode,70,0.6335714285714287,54.285714285714285,0.36,0.9120194173842793
gemini,single_trial,70,0.782857142857143,44.285714285714285,0.21393607831845662,0.5333454425345151
gemini,aggregated_mean,70,0.7878571428571429,44.285714285714285,0.20915411355735813,0.5377225385103453
gemini,single_trial,70,0.782857142857143,44.285714285714285,0.21393607831845662,0.5333454425345151
gemini,aggregated_median,70,0.7800000000000001,45.714285714285715,0.22898550724637678,0.5360689646346961
gemini,single_trial,70,0.782857142857143,44.285714285714285,0.21393607831845662,0.5333454425345151
gemini,aggregated_mode,70,0.7878571428571429,44.285714285714285,0.20708684286959056,0.5377225385103453
