model,strategy,n_tasks,exact_match,within_1_grade,cohens_kappa,weighted_kappa
chatgpt,lenient,140,60.0,97.14285714285714,0.42990110529377545,0.7392638036809815
chatgpt,zero-shot,140,80.0,100.0,0.6782665791201575,0.8703703703703703
chatgpt,few-shot,140,77.14285714285715,100.0,0.6510903426791277,0.849624060150376
gemini,lenient,140,44.285714285714285,82.85714285714286,0.21393607831845662,0.21383647798742145
gemini,zero-shot,140,60.0,97.14285714285714,0.41352483542788754,0.6516393442622951
gemini,few-shot,140,52.85714285714286,94.28571428571428,0.3306288032454361,0.46300715990453456
