question_number,mean_abs_error,std_abs_error,n_samples,mean_grade_diff,std_grade_diff,avg_expert_score
3,0.7933333333333333,0.6122663280772307,60,0.7899999999999999,0.6166338363531418,1.4
7,0.6916666666666667,0.586368215045648,60,0.6649999999999999,0.6169429828337433,1.5300000000000002
5,0.5166666666666667,0.4158579722782102,60,0.5066666666666666,0.42818761398289146,1.2800000000000002
2,0.43333333333333335,0.3568537974694421,60,0.36,0.43186626931988004,2.33
6,0.39833333333333343,0.3610209941154259,60,-0.28500000000000014,0.4572671214279276,3.04
4,0.3416666666666666,0.3528535811317693,60,0.29166666666666663,0.3958649258876348,1.52
1,0.23166666666666674,0.2534451879141447,60,-0.0050000000000000825,0.3446565472948691,2.94
