model,strategy,mae,exact_match,cohens_kappa,pearson_r
chatgpt,few-shot,0.2242857142857143,77.14285714285715,0.6510903426791277,0.9098087037427932
chatgpt,lenient,0.6257142857142857,60.0,0.4299011052937754,0.9080739830340328
chatgpt,zero-shot,0.13,80.0,0.6782665791201575,0.9549279788268684
gemini,few-shot,0.6185714285714288,52.85714285714286,0.3306288032454361,0.7197492286749322
gemini,lenient,0.782857142857143,44.285714285714285,0.2139360783184566,0.5333454425345152
gemini,zero-shot,0.5385714285714286,60.0,0.4135248354278875,0.6943869847660263
