model,strategy,n_tasks,mae,rmse,bias,pearson_r,pearson_p,spearman_r,spearman_p,exact_match,within_1_grade,cohens_kappa,weighted_kappa
chatgpt,lenient,140,0.6257142857142857,0.7307530362578044,0.6171428571428571,0.9080739830340328,5.1375631907686334e-54,0.9513041012144214,2.0987754296930998e-72,60.0,97.14285714285714,0.42990110529377545,0.7392638036809815
chatgpt,zero-shot,140,0.13000000000000003,0.2707133433832073,-0.07285714285714288,0.9549279788268685,1.1443314156500226e-74,0.9379766196675509,2.3549004278308307e-65,80.0,100.0,0.6782665791201575,0.8703703703703703
chatgpt,few-shot,140,0.22428571428571434,0.36664502100611085,0.05571428571428569,0.9098087037427932,1.4664956829129718e-54,0.9321201885813392,9.721508106026576e-63,77.14285714285715,100.0,0.6510903426791277,0.849624060150376
gemini,lenient,140,0.782857142857143,0.9746794344808964,0.637142857142857,0.5333454425345152,1.1656571756451965e-11,0.4780316525213237,2.3306032325162027e-09,44.285714285714285,82.85714285714286,0.21393607831845662,0.21383647798742145
gemini,zero-shot,140,0.5385714285714286,0.6982631513773504,0.31285714285714283,0.6943869847660263,1.84106256804796e-21,0.6786578595591036,3.156186398303665e-20,60.0,97.14285714285714,0.41352483542788754,0.6516393442622951
gemini,few-shot,140,0.6185714285714288,0.7548888281443452,0.4414285714285713,0.7197492286749322,1.2560763699285121e-23,0.7134639723460542,4.5461048912730945e-23,52.85714285714286,94.28571428571428,0.3306288032454361,0.46300715990453456
