model,strategy,qwk,exact_agreement_pct,icc_2_1,mae,bias,cost_per_essay_usd,mean_time_seconds,essays_per_hour,score_accuracy_focused,score_balanced,score_cost_focused
chatgpt,few-shot,0.5827,60.88,,0.4569,-0.1949,0.011205,5.15,698.6,0.6638795340877262,0.5789605746907092,0.5858718484735636
chatgpt,lenient,0.2909,36.11,0.9417366308931624,0.6885,0.4654,0.011393,7.67,469.1,0.36899249061326655,0.4175505492977333,0.2080690678162518
chatgpt,zero-shot,0.6001,62.42,,0.4424,-0.2178,0.010953,5.11,704.3,0.7,0.6059620596205962,0.6158988256549233
gemini,few-shot,0.4689,44.84,,0.6312,-0.0633,0.000343,18.61,193.5,0.3530501419141327,0.375501105698446,0.5962654759122215
gemini,lenient,0.3115,47.47,,0.762,0.4394,0.000328,9.82,366.7,0.02664941785252265,0.26425480214698654,0.5433662626751321
gemini,zero-shot,0.4568,46.67,,0.5852,0.0443,0.000323,12.05,298.8,0.380575816795574,0.46766366800314396,0.7151326680510574
